t_arrive,watch_s,ue_id
40.802,240,ue1
41.816,240,ue2
54.681,240,ue3
64.784,240,ue4
118.128,240,ue5
163.295,240,ue6
252.386,240,ue7
256.024,240,ue8
277.946,240,ue9
279.156,240,ue10
289.025,240,ue11
317.181,240,ue12
318.257,240,ue13
327.125,240,ue14
369.104,240,ue15
400.598,240,ue16
410.559,240,ue17
446.151,240,ue18
512.461,240,ue19
512.721,240,ue20
578.28,240,ue21
626.192,240,ue22
642.827,240,ue23
649.587,240,ue24
775.648,240,ue25
792.063,240,ue26
795.956,240,ue27
800.025,240,ue28
875.247,240,ue29
