t_arrive,watch_s,ue_id
1.573,240,ue1
49.231,240,ue2
55.447,240,ue3
80.283,240,ue4
124.83,240,ue5
187.822,240,ue6
211.968,240,ue7
239.556,240,ue8
240.329,240,ue9
262.982,240,ue10
281.615,240,ue11
358.114,240,ue12
389.787,240,ue13
446.099,240,ue14
468.87,240,ue15
476.623,240,ue16
552.742,240,ue17
621.383,240,ue18
640.238,240,ue19
644.263,240,ue20
672.996,240,ue21
700.402,240,ue22
759.591,240,ue23
795.965,240,ue24
824.229,240,ue25
858.47,240,ue26
877.394,240,ue27
879.4,240,ue28
881.927,240,ue29
