t_arrive,watch_s,ue_id
12.691,240,ue1
39.471,240,ue2
42.888,240,ue3
59.432,240,ue4
62.435,240,ue5
62.879,240,ue6
76.234,240,ue7
81.243,240,ue8
96.146,240,ue9
150.566,240,ue10
152.023,240,ue11
191.249,240,ue12
197.051,240,ue13
260.454,240,ue14
313.873,240,ue15
323.354,240,ue16
398.729,240,ue17
449.264,240,ue18
452.38,240,ue19
473.359,240,ue20
521.578,240,ue21
624.114,240,ue22
631.674,240,ue23
643.281,240,ue24
702.964,240,ue25
834.484,240,ue26
838.422,240,ue27
842.187,240,ue28
897.828,240,ue29
